Country_Region,Confirmed,Deaths,Recovered,Active
US,461437,16478,25410,0
Spain,153222,15447,52165,85610
Italy,143626,18279,28470,96877
France,118781,12228,23413,83140
Germany,118181,2607,52407,63167
China,82883,3339,77679,1865
Iran,66220,4110,32309,29801
United Kingdom,65872,7993,359,57520
Turkey,42282,908,2142,39232
Belgium,24983,2523,5164,17296
Switzerland,24051,948,10600,12503
Netherlands,21903,2403,278,19222
Canada,20654,503,5162,0
Brazil,18092,950,173,16969
Portugal,13956,409,205,13342
Austria,13244,295,5240,7709
"Korea, South",10423,204,6973,3246
Russia,10131,76,698,9357
Israel,9968,86,1011,8871
Sweden,9141,793,205,8143
India,6725,226,620,5879
Ireland,6574,263,25,6286
Norway,6211,108,32,6071
Australia,6108,51,1472,4585
Chile,5972,57,1274,4641
Denmark,5830,237,1883,3710
Poland,5575,174,284,5117
Czechia,5569,112,301,5156
Peru,5256,138,1438,3680
Romania,5202,248,647,4307
Ecuador,4965,272,339,4354
Japan,4667,94,632,3941
Pakistan,4489,65,572,3852
Malaysia,4228,67,1608,2553
Philippines,4076,203,124,3749
Indonesia,3293,280,252,2761
Saudi Arabia,3287,44,666,2577
Mexico,3181,174,633,2374
Luxembourg,3115,52,500,2563
United Arab Emirates,2990,14,268,2708
Serbia,2867,66,0,2801
Finland,2605,42,300,2263
Panama,2528,63,16,2449
Thailand,2423,32,940,1451
Qatar,2376,6,206,2164
Dominican Republic,2349,118,80,2151
Colombia,2223,69,174,1980
Greece,1955,87,269,1599
South Africa,1934,18,95,1821
Singapore,1910,6,460,1444
Ukraine,1892,57,45,1790
Argentina,1795,72,365,1358
Egypt,1699,118,348,1233
Algeria,1666,235,347,1084
Iceland,1648,6,688,954
Belarus,1486,16,139,1331
Croatia,1407,20,219,1168
Morocco,1374,97,109,1168
Moldova,1289,29,50,1210
New Zealand,1239,1,317,921
Iraq,1232,69,496,667
Estonia,1207,24,83,1100
Slovenia,1124,43,128,953
Hungary,980,66,96,818
Lithuania,955,16,8,931
Azerbaijan,926,9,101,816
Armenia,921,10,138,773
Kuwait,910,1,111,798
Bahrain,887,5,519,363
Bosnia and Herzegovina,858,35,101,722
Kazakhstan,781,8,60,713
Cameroon,730,10,60,660
Diamond Princess,712,11,619,82
Slovakia,701,2,23,676
North Macedonia,663,30,37,596
Tunisia,643,25,25,593
Bulgaria,618,24,48,546
Latvia,589,3,16,570
Andorra,583,25,58,500
Lebanon,582,19,67,496
Uzbekistan,582,3,38,541
Cyprus,564,10,53,501
Costa Rica,539,3,30,506
Cuba,515,15,28,472
Afghanistan,484,15,32,437
Oman,457,3,109,345
Uruguay,456,7,192,257
Cote d'Ivoire,444,3,52,389
Burkina Faso,443,24,146,273
Niger,410,11,40,359
Albania,409,23,165,221
Taiwan*,380,5,67,308
Ghana,378,6,3,369
Jordan,372,7,161,204
Honduras,343,23,6,314
Malta,337,2,16,319
San Marino,333,34,49,250
Bangladesh,330,21,33,276
Mauritius,314,7,23,284
Nigeria,288,7,51,230
Kyrgyzstan,280,4,35,241
Bolivia,264,18,2,244
West Bank and Gaza,263,1,44,218
Vietnam,255,0,128,127
Montenegro,252,2,4,246
Senegal,250,2,123,125
Georgia,218,3,51,164
Guinea,194,0,11,183
Sri Lanka,190,7,49,134
Kosovo,184,5,30,149
Kenya,184,7,12,165
Congo (Kinshasa),180,18,9,153
Venezuela,171,9,84,78
Djibouti,135,0,25,110
Brunei,135,1,92,42
Paraguay,124,5,18,101
Cambodia,119,0,62,57
Rwanda,110,0,7,103
Trinidad and Tobago,109,8,1,100
El Salvador,103,6,14,83
Guatemala,95,3,17,75
Madagascar,93,0,11,82
Monaco,84,1,5,78
Liechtenstein,78,1,55,22
Mali,74,7,22,45
Togo,73,3,24,46
Barbados,66,3,11,52
Jamaica,63,4,12,47
Congo (Brazzaville),60,5,5,50
Ethiopia,56,2,4,50
Uganda,53,0,0,53
Gabon,44,1,1,42
Bahamas,41,8,5,28
Zambia,39,1,24,14
Guyana,37,6,8,23
Guinea-Bissau,36,0,0,36
Eritrea,33,0,0,33
Liberia,31,4,3,24
Haiti,30,2,0,28
Benin,26,1,5,20
Tanzania,25,1,5,19
Libya,24,1,8,15
Burma,23,3,2,18
Maldives,19,0,13,6
Syria,19,2,4,13
Antigua and Barbuda,19,2,0,17
Angola,19,2,2,15
Equatorial Guinea,18,0,3,15
Mozambique,17,0,1,16
Namibia,16,0,3,13
Laos,16,0,0,16
Mongolia,16,0,4,12
Fiji,15,0,0,15
Dominica,15,0,1,14
Sudan,15,2,2,11
Saint Lucia,14,0,1,13
Botswana,13,1,0,12
Grenada,12,0,0,12
Saint Vincent and the Grenadines,12,0,1,11
Somalia,12,1,1,10
Eswatini,12,0,7,5
Zimbabwe,11,3,0,8
Chad,11,0,2,9
Saint Kitts and Nevis,11,0,0,11
Seychelles,11,0,0,11
Suriname,10,1,4,5
MS Zaandam,9,2,0,7
Nepal,9,0,1,8
Belize,9,1,0,8
Malawi,8,1,0,7
Holy See,8,0,2,6
Central African Republic,8,0,0,8
Nicaragua,7,1,0,6
Mauritania,7,1,2,4
Sierra Leone,7,0,0,7
Cabo Verde,7,1,1,5
Bhutan,5,0,2,3
Sao Tome and Principe,4,0,0,4
Western Sahara,4,0,0,4
Gambia,4,1,2,1
Burundi,3,0,0,3
South Sudan,3,0,0,3
Papua New Guinea,2,0,0,2
Timor-Leste,1,0,0,1
